CCD012,FEEDBACK,1.0
CCD012,NOFEEDBACK,2.0
CCD014,FEEDBACK,1.0
CCD014,NOFEEDBACK,2.0
CCD015,FEEDBACK,2.0
CCD015,NOFEEDBACK,1.0
CCD016,FEEDBACK,1.0
CCD016,NOFEEDBACK,2.0
CCD017,FEEDBACK,2.0
CCD017,NOFEEDBACK,1.0
CCD018,FEEDBACK,1.0
CCD018,NOFEEDBACK,2.0
CCD019,FEEDBACK,2.0
CCD019,NOFEEDBACK,1.0
CCD020,FEEDBACK,1.0
CCD020,NOFEEDBACK,2.0
CCD021,FEEDBACK,2.0
CCD021,NOFEEDBACK,1.0
CCD022,FEEDBACK,1.0
CCD022,NOFEEDBACK,2.0
CCD023,FEEDBACK,2.0
CCD023,NOFEEDBACK,1.0
CCD024,FEEDBACK,1.0
CCD024,NOFEEDBACK,2.0
CCD025,FEEDBACK,2.0
CCD025,NOFEEDBACK,1.0
CCD026,FEEDBACK,1.0
CCD026,NOFEEDBACK,2.0
CCD027,FEEDBACK,2.0
CCD027,NOFEEDBACK,1.0
CCD031,FEEDBACK,1.0
CCD031,NOFEEDBACK,2.0
CCD032,FEEDBACK,2.0
CCD032,NOFEEDBACK,1.0
CCD033,FEEDBACK,1.0
CCD033,NOFEEDBACK,2.0
CCD034,FEEDBACK,2.0
CCD034,NOFEEDBACK,1.0
CCD040,FEEDBACK,2.0
CCD040,NOFEEDBACK,1.0
CCD041,FEEDBACK,2.0
CCD041,NOFEEDBACK,1.0
CCD042,FEEDBACK,2.0
CCD042,NOFEEDBACK,1.0
CCD051,FEEDBACK,1.0
CCD051,NOFEEDBACK,2.0
CCD052,FEEDBACK,1.0
CCD052,NOFEEDBACK,2.0
CCD053,FEEDBACK,1.0
CCD053,NOFEEDBACK,2.0
CCD059,FEEDBACK,2.0
CCD059,NOFEEDBACK,1.0
CCD060,FEEDBACK,2.0
CCD060,NOFEEDBACK,1.0
CCD061,FEEDBACK,1.0
CCD061,NOFEEDBACK,2.0
CCD062,FEEDBACK,1.0
CCD062,NOFEEDBACK,2.0
CCD063,FEEDBACK,1.0
CCD063,NOFEEDBACK,2.0
CCD064,FEEDBACK,1.0
CCD064,NOFEEDBACK,2.0
CCD065,FEEDBACK,2.0
CCD065,NOFEEDBACK,1.0
CCD066,FEEDBACK,2.0
CCD066,NOFEEDBACK,1.0
CCD067,FEEDBACK,1.0
CCD067,NOFEEDBACK,2.0
CCD071,FEEDBACK,1.0
CCD071,NOFEEDBACK,2.0
CCD072,FEEDBACK,2.0
CCD072,NOFEEDBACK,1.0
CCD073,FEEDBACK,1.0
CCD073,NOFEEDBACK,2.0
CCD074,FEEDBACK,2.0
CCD074,NOFEEDBACK,1.0
CCD075,FEEDBACK,1.0
CCD075,NOFEEDBACK,2.0
CCD076,FEEDBACK,2.0
CCD076,NOFEEDBACK,1.0
CCD080,FEEDBACK,1.0
CCD080,NOFEEDBACK,2.0
CCD081,FEEDBACK,2.0
CCD081,NOFEEDBACK,1.0
CCD082,FEEDBACK,1.0
CCD082,NOFEEDBACK,2.0
CCD083,FEEDBACK,2.0
CCD083,NOFEEDBACK,1.0
CCD084,FEEDBACK,1.0
CCD084,NOFEEDBACK,2.0
CCD085,FEEDBACK,2.0
CCD085,NOFEEDBACK,1.0
CCD086,FEEDBACK,2.0
CCD086,NOFEEDBACK,1.0
CCD087,FEEDBACK,2.0
CCD087,NOFEEDBACK,1.0
CCD088,FEEDBACK,1.0
CCD088,NOFEEDBACK,2.0
CCD089,FEEDBACK,1.0
CCD089,NOFEEDBACK,2.0
CCD090,FEEDBACK,2.0
CCD090,NOFEEDBACK,1.0
CCD091,FEEDBACK,2.0
CCD091,NOFEEDBACK,1.0
CCD092,FEEDBACK,1.0
CCD092,NOFEEDBACK,2.0
CCD093,FEEDBACK,2.0
CCD093,NOFEEDBACK,1.0
CCD094,FEEDBACK,2.0
CCD094,NOFEEDBACK,1.0
CCD095,FEEDBACK,1.0
CCD095,NOFEEDBACK,2.0
CCD096,FEEDBACK,1.0
CCD096,NOFEEDBACK,2.0
CCD097,FEEDBACK,2.0
CCD097,NOFEEDBACK,1.0
CCD098,FEEDBACK,2.0
CCD098,NOFEEDBACK,1.0
CCD099,FEEDBACK,1.0
CCD099,NOFEEDBACK,2.0
